id,atc_code,antibiotic_name,match_key,route,aware_group,antibiotic_class,on_eml,is_systemic,source_version
1,J01GB06,Amikacin,amikacin,ANY,ACCESS,Aminoglycosides,Yes,true,WHO AWaRe 2025
2,J01CA04,Amoxicillin,amoxicillin,ANY,ACCESS,Penicillins,Yes,true,WHO AWaRe 2025
3,J01CR02,Amoxicillin/clavulanic-acid,amoxicillin/clavulanicacid,ANY,ACCESS,Beta-lactam/beta-lactamase-inhibitor,Yes,true,WHO AWaRe 2025
4,J01CR02,Amoxicillin/sulbactam,amoxicillin/sulbactam,ANY,ACCESS,Beta-lactam/beta-lactamase-inhibitor,No,true,WHO AWaRe 2025
5,J01CA01,Ampicillin,ampicillin,ANY,ACCESS,Penicillins,Yes,true,WHO AWaRe 2025
6,J01CR01,Ampicillin/sulbactam,ampicillin/sulbactam,ANY,ACCESS,Beta-lactam/beta-lactamase-inhibitor,No,true,WHO AWaRe 2025
7,P01AB04,Azanidazole,azanidazole,ANY,ACCESS,Imidazoles,No,true,WHO AWaRe 2025
8,J01CE04,Azidocillin,azidocillin,ANY,ACCESS,Penicillins,No,true,WHO AWaRe 2025
9,J01CA06,Bacampicillin,bacampicillin,ANY,ACCESS,Penicillins,No,true,WHO AWaRe 2025
10,J01CE08,Benzathine-benzylpenicillin,benzathinebenzylpenicillin,ANY,ACCESS,Penicillins,Yes,true,WHO AWaRe 2025
11,J01CE10,Benzathine-phenoxymethylpenicillin,benzathinephenoxymethylpenicillin,ANY,ACCESS,Penicillins,No,true,WHO AWaRe 2025
12,J01CE01,Benzylpenicillin,benzylpenicillin,ANY,ACCESS,Penicillins,Yes,true,WHO AWaRe 2025
13,J01EA02,Brodimoprim,brodimoprim,ANY,ACCESS,Trimethoprim-derivatives,No,true,WHO AWaRe 2025
14,J01DB10,Cefacetrile,cefacetrile,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
15,J01DB05,Cefadroxil,cefadroxil,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
16,J01DB01,Cefalexin,cefalexin,ANY,ACCESS,First-generation-cephalosporins,Yes,true,WHO AWaRe 2025
17,J01DB02,Cefaloridine,cefaloridine,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
18,J01DB03,Cefalotin,cefalotin,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
19,J01DB08,Cefapirin,cefapirin,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
20,J01DB07,Cefatrizine,cefatrizine,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
21,J01DB06,Cefazedone,cefazedone,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
22,J01DB04,Cefazolin,cefazolin,ANY,ACCESS,First-generation-cephalosporins,Yes,true,WHO AWaRe 2025
23,J01DB09,Cefradine,cefradine,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
24,J01DB11,Cefroxadine,cefroxadine,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
25,J01DB12,Ceftezole,ceftezole,ANY,ACCESS,First-generation-cephalosporins,No,true,WHO AWaRe 2025
26,J01BA01,Chloramphenicol,chloramphenicol,ANY,ACCESS,Amphenicols,Yes,true,WHO AWaRe 2025
27,J01FF01,Clindamycin,clindamycin,ANY,ACCESS,Lincosamides,Yes,true,WHO AWaRe 2025
28,J01CE07,Clometocillin,clometocillin,ANY,ACCESS,Penicillins,No,true,WHO AWaRe 2025
29,J01CF02,Cloxacillin,cloxacillin,ANY,ACCESS,Penicillins,Yes,true,WHO AWaRe 2025
30,J01CF01,Dicloxacillin,dicloxacillin,ANY,ACCESS,Penicillins,Yes,true,WHO AWaRe 2025
31,J01AA02,Doxycycline,doxycycline,ANY,ACCESS,Tetracyclines,Yes,true,WHO AWaRe 2025
32,J01CA07,Epicillin,epicillin,ANY,ACCESS,Penicillins,No,true,WHO AWaRe 2025
33,J01CF05,Flucloxacillin,flucloxacillin,ANY,ACCESS,Penicillins,Yes,true,WHO AWaRe 2025
34,J01XE03,Furazidin,furazidin,ANY,ACCESS,Nitrofuran-derivatives,No,true,WHO AWaRe 2025
35,J01GB03,Gentamicin,gentamicin,ANY,ACCESS,Aminoglycosides,Yes,true,WHO AWaRe 2025
36,J01CA18,Hetacillin,hetacillin,ANY,ACCESS,Penicillins,No,true,WHO AWaRe 2025
37,J01CA11,Mecillinam,mecillinam,ANY,ACCESS,Penicillins,No,true,WHO AWaRe 2025
